Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Napoleon. Więzień na wyspie św. Heleny,Roger Peyere,Roch Siemianowski,,0.0,,0.0,46.0,"Literatura faktu, Historia",Audiobook,Polski,2022-03-16,Tom 6 - Napoleon i jego epoka,M,literatura faktu
Sztuka wojenna kozaków zaporoskich,Jacek Komuda,Roch Siemianowski,,0.0,,0.0,11.78,"Literatura faktu, Historia",Audiobook,Polski,2024-04-03,Nie dotyczy,M,literatura faktu
Sto dni Napoleona. Od ucieczki z Elby do bitwy pod Waterloo,Roger Peyere,Roch Siemianowski,,0.0,,0.0,1.0,"Literatura faktu, Historia",Audiobook,Polski,2022-03-16,Tom 5 - Napoleon i jego epoka,M,literatura faktu
Jednooki Kruk,Sven Georgson,Roch Siemianowski,,0.0,,0.0,9.8,"Literatura faktu, Historia",Audiobook,Polski,2022-03-09,Nie dotyczy,M,literatura faktu
Zapomniane Kresy. Ostatnie polskie lata,Sławomir Koper,Michał Breitenwald,,0.0,,0.0,14.22,"Literatura faktu, Historia",Audiobook,Polski,2024-05-22,Nie dotyczy,M,literatura faktu
Niezwykłe dzieje wielkich wynalazków,Tymoteusz Pawłowski,Michał Breitenwald,,0.0,,0.0,11.82,"Literatura faktu, Historia",Audiobook,Polski,2023-04-19,Nie dotyczy,M,literatura faktu
Tropiciel skarbów. Fakty i mity w filmach o Indianie Jonesie,Adam Węgłowski,Marek Głuszczak,,0.0,,0.0,9.77,"Literatura faktu, Historia",Audiobook,Polski,2023-06-28,Nie dotyczy,M,literatura faktu
Cywil w Berlinie,Antoni Sobański,Maciej Marcinkowski,,0.0,,0.0,3.8,"Literatura faktu, Historia",Audiobook,Polski,2021-11-02,Nie dotyczy,M,literatura faktu
Wrzeciono Boga. Tom 2. Wdowi grosz,Andrzej Wojaczek,Konrad Biel,,0.0,,0.0,14.02,"Literatura faktu, Historia",Audiobook,Polski,2022-08-03,Tom 2 - Wrzeciono Boga,M,literatura faktu
Żydzi i Polacy 1918–1955. Współistnienie – zagłada – komunizm,Marek Chodakiewicz,Konrad Biel,,0.0,,0.0,30.48,"Literatura faktu, Historia",Audiobook,Polski,2024-09-25,Nie dotyczy,M,literatura faktu
Bestie antyku. Potwory i demony w starożytnym świecie Greków i Rzymian,Jankowiak Anna,Kamieński Jakub,,0.0,,0.0,5.5,"Literatura faktu, Historia",Audiobook,Polski,2024-12-20,Nie dotyczy,M,literatura faktu
W pościgu za V-1,Bohdan Arct,Adam Bauman,,0.0,,0.0,2.83,"Literatura faktu, Historia",Audiobook,Polski,2024-07-17,Żółty tygrys,M,literatura faktu
Tajemnica Łuku Kurskiego,Józef Barski,Adam Bauman,,0.0,,0.0,2.7,"Literatura faktu, Historia",Audiobook,Polski,2024-07-17,Żółty tygrys,M,literatura faktu
Spowiedź generała von dem Bacha,Christopher Macht,Adam Bauman,,0.0,,0.0,8.73,"Literatura faktu, Historia",Audiobook,Polski,2024-06-26,Nie dotyczy,M,literatura faktu
Szturmowcy Warszawy,Bohdan Arct,Adam Bauman,,0.0,,0.0,2.67,"Literatura faktu, Historia",Audiobook,Polski,2024-06-05,Żółty tygrys,M,literatura faktu
Bismarck pirat Atlantyku,Zbigniew Flisowski,Adam Bauman,,0.0,,0.0,3.12,"Literatura faktu, Historia",Audiobook,Polski,2024-07-17,Żółty tygrys,M,literatura faktu
Wielki dzień Dywizjonu 303,Bohdan Arct,Adam Bauman,,0.0,,0.0,3.03,"Literatura faktu, Historia",Audiobook,Polski,2024-07-17,Żółty tygrys,M,literatura faktu
Templariusze. Zbrodnia w majestacie prawa,Roman Bolczyk,Dragun,,0.0,,0.0,9.33,"Literatura faktu, Historia",Audiobook,Polski,2022-09-28,Nie dotyczy,M,literatura faktu
Terapia duszy - Historia jednego genogramu,Iwona Michalewicz,Paulina Holtz,,0.0,,0.0,14.55,"Literatura faktu, Historia",Audiobook,Polski,2024-11-28,Nie dotyczy,F,literatura faktu
"Kobiety niepodległości. Bohaterki, żony, powiernice",Iwona Kienzler,Lena Schimscheiner,,0.0,,0.0,9.42,"Literatura faktu, Historia",Audiobook,Polski,2020-03-24,Nie dotyczy,F,literatura faktu
Barbara i król,Renata Czarnecka,Katarzyna Anzorge,,0.0,,0.0,11.68,"Literatura faktu, Historia",Audiobook,Polski,2024-12-10,Tom 5 - Bona. Królowa z rodu Sforzów,F,literatura faktu
Branki w jasyrze,Deotyma .,Ilona Chojnowska,,0.0,,0.0,12.65,"Literatura faktu, Historia",Audiobook,Polski,2020-09-08,Nie dotyczy,F,literatura faktu
Elżbieta Granowska. Królowa Władysława Jagiełły,Dorota Pająk-Puda,Anna Konieczna,,0.0,,0.0,11.43,"Literatura faktu, Historia",Audiobook,Polski,2024-11-20,Nie dotyczy,F,literatura faktu
Krystyna córka Lavransa. Żona,Sigrid Undset,Anna Konieczna,,0.0,,0.0,17.03,"Literatura faktu, Historia",Audiobook,Polski,2024-08-22,Tom 2 - Krystyna córka Lavransa,F,literatura faktu
Skazaniec i panna,Joanna Wtulich,Anna Dudziak-Klempka,,0.0,,0.0,7.67,"Literatura faktu, Historia",Audiobook,Polski,2023-07-05,Nie dotyczy,F,literatura faktu
Rozdzieliła nas wojna,Praca Zbiorowa,Agnieszka Krzysztoń,,0.0,,0.0,11.13,"Literatura faktu, Historia",Audiobook,Polski,2023-03-15,Nie dotyczy,F,literatura faktu
Wszystkie dzieci Maharadży,Joanna Puchalska,Agnieszka Krzysztoń,,0.0,,0.0,6.95,"Literatura faktu, Historia",Audiobook,Polski,2022-06-01,Nie dotyczy,F,literatura faktu
Poza strachem. Jak Polacy ratowali Żydów,Barbara Stanisławczyk,Agnieszka Krzysztoń,,0.0,,0.0,8.98,"Literatura faktu, Historia",Audiobook,Polski,2024-02-21,Nie dotyczy,F,literatura faktu
Aleja Białych Róż,Renata Czarnecka,Donata Cieślik,,0.0,,0.0,11.4,"Literatura faktu, Historia",Audiobook,Polski,2023-06-07,Nie dotyczy,F,literatura faktu
Krysia bezimienna,Antonina Domańska,Donata Cieślik,,0.0,,0.0,4.87,"Literatura faktu, Historia",Audiobook,Polski,2020-03-10,Nie dotyczy,F,literatura faktu
"Bebok, heksa i inksi. Rzecz o śląskich strachach i straszakach.",Waldemar Cichoń,Jan Woldan,,0.0,,0.0,6.25,"Literatura faktu, Historia, Religia i filozofia",Audiobook,Polski,2022-02-04,Nie dotyczy,M,literatura faktu
Smart casual. Męski styl,Krzysztof Łoszewski,Roch Siemianowski,,0.0,,0.0,3.37,"Literatura faktu, Hobby i wypoczynek",Audiobook,Polski,2021-04-06,Nie dotyczy,M,literatura faktu
Grao story. The book,Marcin Sergiusz Przybyłek,Marcin Popczyński,,0.0,,0.0,7.72,"Literatura faktu, Hobby i wypoczynek",Audiobook,Polski,2019-08-06,Nie dotyczy,M,literatura faktu
"Myśl jak pokerzysta. Jak nauczyłam się być czujna, kontrolować sytuację i zwyciężać",Konnikova Maria,Todorczuk Aneta,,0.0,,0.0,13.22,"Literatura faktu, Hobby i wypoczynek",Audiobook,Polski,2024-02-10,Nie dotyczy,F,literatura faktu
Makijażowy ANTI-AGING,Kasia Wrona,Karolina Winarska,,0.0,,0.0,6.45,"Literatura faktu, Hobby i wypoczynek",Audiobook,Polski,2023-03-07,Nie dotyczy,F,literatura faktu
Koniec diety. Jak odczepić się od swojego ciała i naprawić relację z jedzeniem,Paulina Małek,Małgorzata Zawadzka,,0.0,,0.0,7.37,"Literatura faktu, Jedzenie i napoje",Audiobook,Polski,2024-05-15,Nie dotyczy,F,literatura faktu
Angielski dla początkujących Słownictwo i podstawy gramatyki,Dorota Guzik,Maybe Theater Company,4.3,,,0.0,1.45,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2017-12-12,Nie dotyczy,U,literatura faktu
Praktyczny kurs języka niemieckiego,Beata Pawlikowska,Beata Pawlikowska,4.6,,,0.0,7.87,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2020-01-15,Nie dotyczy,F,literatura faktu
Angielski Business English Express,Dorota Guzik,Maybe Theater Company,,0.0,,0.0,1.3,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2017-11-29,Nie dotyczy,U,literatura faktu
Angielski dla początkujących 1000 słów i zwrotów w podróży,Dorota Guzik,Maybe Theater Company,,0.0,,0.0,1.23,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2017-12-12,Nie dotyczy,U,literatura faktu
Angielski. Konwersacje na wakacje: On Holiday – Nowe wydanie (Poziom średniozaawansowany: B1-B2 – Słuchaj & Ucz się),Dorota Guzik,Maybe Theater Company,,0.0,,0.0,2.47,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2018-05-25,Nie dotyczy,U,literatura faktu
Angielski Vocabulary Master – Słuchaj & Ucz się: Phrasal Verbs in Situations (Poziom średnio zaawansowany / zaawansowany: B2-C1),Dorota Guzik,Maybe Theater Company,,0.0,,0.0,1.12,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2017-03-27,Vocabulary Master,U,literatura faktu
Angielski dla początkujących 1000 słów i zwrotów w pracy,Dorota Guzik,Maybe Theater Company,,0.0,,0.0,1.28,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2017-12-12,Nie dotyczy,U,literatura faktu
Angielski. Słownictwo dla zaawansowanych: English Vocabulary Master for Advanced Learners (Listen & Learn – Poziom B2-C1),"Dorota Guzik, Dominika Tkaczyk","Lara Kalenik, Barbara Kubica-Daniel",,0.0,,0.0,12.53,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2019-11-19,Nie dotyczy,G,literatura faktu
Praktyczny kurs języka hiszpańskiego,Beata Pawlikowska,Beata Pawlikowska,,0.0,,0.0,7.77,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2020-01-15,Nie dotyczy,F,literatura faktu
Praktyczny kurs języka francuskiego,Beata Pawlikowska,Beata Pawlikowska,,0.0,,0.0,7.92,"Literatura faktu, Językoznawstwo i języki obce",Audiobook,Polski,2020-01-15,Nie dotyczy,F,literatura faktu
Dokąd prowadzą nas media,Krzysztof Toeplitz,Jędrzej Fulara,,0.0,,0.0,10.22,"Literatura faktu, Językoznawstwo i języki obce, Społeczeństwo i kultura",Audiobook,Polski,2022-09-02,Nie dotyczy,M,literatura faktu
Czytając Polskę,Kinga Dunin,Agnieszka Postrzygacz,,0.0,,0.0,10.78,"Literatura faktu, Literatura i sztuka",Audiobook,Polski,2021-12-10,Nie dotyczy,F,literatura faktu
"Księgi niesamowite, pisarze niezwykli",Radosław Jarosiński,Jakub Kamieński,,0.0,,0.0,3.93,"Literatura faktu, Literatura i sztuka, Społeczeństwo i kultura",Audiobook,Polski,2024-07-14,"Tom 1 - Księgi niesamowite, pisarze niezwykli",M,literatura faktu
15 000 dni filmowej podróży,Haliński Andrzej,Zborowski Wiktor,,0.0,,0.0,13.1,"Literatura faktu, Muzyka i filmy",Audiobook,Polski,2024-02-14,Nie dotyczy,M,literatura faktu
Na siedem kontynentów. Notatnik podróżnika,Wojciech Dąbrowski,Wojciech Masiak,,0.0,,0.0,6.58,"Literatura faktu, Podróże",Audiobook,Polski,2024-09-25,Nie dotyczy,M,literatura faktu
Muzyka moich ulic. Lizbona.,Marcin Kydryński,Łukasz Nowicki,,0.0,,0.0,6.38,"Literatura faktu, Podróże",Audiobook,Polski,2020-05-20,Nie dotyczy,M,literatura faktu
7 dni w siódmym niebie,Żaneta Auler,Żaneta Auler,,0.0,,0.0,5.53,"Literatura faktu, Podróże",Audiobook,Polski,2019-07-03,Nie dotyczy,F,literatura faktu
Daleko po torach. Przez Rosję aż do Chin,Ewa Nowak,Kamila Brodacka,,0.0,,0.0,8.68,"Literatura faktu, Podróże",Audiobook,Polski,2024-02-13,Nie dotyczy,F,literatura faktu
Moja podróż z Witkacym i Malinowskim na Cejlon,Alina Kręcisz,Donata Cieślik,,0.0,,0.0,5.77,"Literatura faktu, Podróże",Audiobook,Polski,2021-04-20,Nie dotyczy,F,literatura faktu
Podróże z moją kotką,Aleksandra Ziółkowska-Boehm,Donata Cieślik,,0.0,,0.0,8.95,"Literatura faktu, Podróże",Audiobook,Polski,2019-03-26,Nie dotyczy,F,literatura faktu
Europa na winnych szlakach,Tomasz Barczyński-Prange,Tomasz Barczyński-Prange,,0.0,,0.0,4.77,"Literatura faktu, Podróże, Jedzenie i napoje",Audiobook,Polski,2024-12-05,Nie dotyczy,M,literatura faktu
"Jak nie złapać wilka na piachu, czyli piesza wędrówka wzdłuż Bałtyku z Trójmiasta do Świnoujścia",Jan Dulka,Maciej Motylski,,0.0,,0.0,4.65,"Literatura faktu, Podróże, Sport",Audiobook,Polski,2022-12-05,Nie dotyczy,M,literatura faktu
Jeszcze słychać śpiew i rżenie koni,Andrzej Mularczyk,Tomasz Sobczak,,0.0,,0.0,10.9,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2021-05-10,Nie dotyczy,M,literatura faktu
Kamikaze - lotnicy śmierci,S.T. Kald,Jacek Jońca,,0.0,,0.0,2.43,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2024-10-28,Żółty tygrys,M,literatura faktu
Wszyscy ludzie Kremla. Tajne życie dworu Władimira Putina,Zygar Michaił,Ignaczak Tomasz,,0.0,,0.0,17.03,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2024-02-10,Nie dotyczy,M,literatura faktu
Czas bezprawia,Rafał A. Ziemkiewicz,Bartosz Głogowski,,0.0,,0.0,13.77,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2024-12-03,Nie dotyczy,M,literatura faktu
Spokojnie już nie będzie. Koniec naszej belle époque. Paweł Kowal w rozmowie z Agnieszką Lichnerowicz,"Kowal Paweł, Lichnerowicz Agnieszka","Głogowski Bartosz, Ryźlak Anna",,0.0,,0.0,10.92,"Literatura faktu, Polityka i wojna",Audiobook,Polski,2024-02-10,Nie dotyczy,G,literatura faktu
Najkrótsze stulecie,Krzysztof Toeplitz,Tomasz Ignaczak,,0.0,,0.0,14.08,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2022-10-20,Nie dotyczy,M,literatura faktu
Złe psy. W imię zasad,Patryk Vega,Roch Siemianowski,,0.0,,0.0,8.0,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-04-10,Nie dotyczy,M,literatura faktu
Służby specjalne. Podwójna przykrywka,Patryk Vega,Roch Siemianowski,,0.0,,0.0,7.82,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-04-16,Nie dotyczy,M,literatura faktu
Samotna twierdza,Marek Sadzewicz,Jacek Jońca,,0.0,,0.0,3.17,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-10-28,Żółty tygrys,M,literatura faktu
Lądowanie o świcie,Ryszard Pietrzak,Jacek Jońca,,0.0,,0.0,2.95,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-10-28,Żółty tygrys,M,literatura faktu
Mustangi nad kontynentem,Wacław Król,Adam Bauman,,0.0,,0.0,3.87,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-06-05,Żółty tygrys,M,literatura faktu
U-Booty poszły na dno,Wacław Król,Adam Bauman,,0.0,,0.0,3.73,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-06-12,Żółty tygrys,M,literatura faktu
Cyrk Skalskiego,Bohdan Arct,Adam Bauman,,0.0,,0.0,2.98,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-06-05,Żółty tygrys,M,literatura faktu
Operacja Midway,F.L. Justin,Adam Bauman,,0.0,,0.0,2.9,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-06-05,Żółty tygrys,M,literatura faktu
Niebezpieczne kobiety,Patryk Vega,Aneta Todorczuk,,0.0,,0.0,6.17,"Literatura faktu, Polityka i wojna, Historia",Audiobook,Polski,2024-04-08,Nie dotyczy,F,literatura faktu
Polska. Eseje o stuleciu,opracowanie zbiorowe,Roch Siemianowski,,0.0,,0.0,20.32,"Literatura faktu, Prawo, Społeczeństwo i kultura, Polityka i wojna",Audiobook,Polski,2023-11-08,Nie dotyczy,M,literatura faktu
Obchód,Piotr Jan Marczyński,Maciej Raniszewski,,0.0,,0.0,6.93,"Literatura faktu, Przyroda i nauka",Audiobook,Polski,2024-05-10,Nie dotyczy,M,literatura faktu
"Leonardo da Vinci. Życie i dzieło. Tom II. Artysta, myśliciel, człowiek nauki.",Eugène Müntz,Aleksander Bromberek,,0.0,,0.0,7.95,"Literatura faktu, Przyroda i nauka",Audiobook,Polski,2022-08-19,Tom 11 - Genialni myśliciele,M,literatura faktu
Kurs emocji,Jesús Matos Larrinaga,Wojciech Masacz,,0.0,,0.0,9.12,"Literatura faktu, Psychologia",Audiobook,Polski,2024-09-03,Nie dotyczy,M,literatura faktu
Niemyte dusze,Stanisław Ignacy Witkiewicz,Michał Breitenwald,,0.0,,0.0,6.98,"Literatura faktu, Psychologia",Audiobook,Polski,2018-12-04,Nie dotyczy,M,literatura faktu
Obfitość. Manifestuj i przyciągaj bogactwo finansowe i nie tylko,Emma Mumford,Izabela Perez,,0.0,,0.0,6.9,"Literatura faktu, Psychologia",Audiobook,Polski,2024-09-11,Nie dotyczy,F,literatura faktu
Wizualizacja,François J. Paul-Cavallier,Izabela Perez,,0.0,,0.0,7.78,"Literatura faktu, Psychologia",Audiobook,Polski,2024-07-31,Nie dotyczy,F,literatura faktu
Antyporadnik,Mika Dunin,Anna Kończal-Bochenek,,0.0,,0.0,6.17,"Literatura faktu, Psychologia",Audiobook,Polski,2022-10-20,Nie dotyczy,F,literatura faktu
Szczeniakowo. Poradnik szczęśliwego właściciela szczęśliwego psa,Grzegorz Firlit,Mateusz Drozda,,0.0,,0.0,8.37,"Literatura faktu, Psychologia, Przyroda i nauka",Audiobook,Polski,2023-06-09,Nie dotyczy,M,literatura faktu
Atlas legend,Paweł Zych,Wiesław Kolbusz,,0.0,,0.0,13.2,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2021-07-27,Tom 1 - Atlas legend,M,literatura faktu
Warsztaty Muzyki Niezwykłej 2017,Tomasz Grabowski OP,Tomasz Grabowski OP,,0.0,,0.0,2.45,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2018-12-22,Nie dotyczy,M,literatura faktu
Trzy rozprawy z teorii seksualnej,Zygmunt Freud,Tomasz Budyta,,0.0,,0.0,3.98,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2023-12-22,Nie dotyczy,M,literatura faktu
Droga Krzyżowa z ks. Janem Twardowskim,Jan Twardowski,Tadeusz Malak,,0.0,,0.0,1.22,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-05-17,Nie dotyczy,M,literatura faktu
Paschalny wymiar życia chrześcijańskiego,Stanisław Łucarz,Stanisław Łucarz,,0.0,,0.0,5.3,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2022-06-17,Kolekcja Życia Duchowego,M,literatura faktu
W szkole modlitwy ze św. Ignacym,Seweryn Wąsik,Seweryn Wąsik,,0.0,,0.0,6.07,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-12-06,Elementarz Ignacjański,M,literatura faktu
Aniołowie. Tajni agenci Boga,Billy Graham,Roch Siemianowski,,0.0,,0.0,5.73,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-10-23,Nie dotyczy,M,literatura faktu
Pokój z Bogiem,Billy Graham,Maciej Kowalik,,0.0,,0.0,7.63,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-10-15,Nie dotyczy,M,literatura faktu
Autorytet wierzącego,Andrew Wommack,Maciej Jabłoński,,0.0,,0.0,8.58,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2020-09-08,Nie dotyczy,M,literatura faktu
Lepszy sposób modlitwy,Andrew Wommack,Maciej Jabłoński,,0.0,,0.0,6.1,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2020-09-08,Nie dotyczy,M,literatura faktu
"Duch, dusza i ciało",Andrew Wommack,Maciej Jabłoński,,0.0,,0.0,5.38,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2020-09-08,Nie dotyczy,M,literatura faktu
Potęga wyobraźni,Andrew Wommack,Maciej Jabłoński,,0.0,,0.0,5.05,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2023-11-14,Nie dotyczy,M,literatura faktu
Nie ograniczaj Boga,Andrew Wommack,Maciej Jabłoński,,0.0,,0.0,4.25,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2023-06-27,Nie dotyczy,M,literatura faktu
Wiekuisty człowiek. Tom 1,Gilbert Chesterton,Ireneusz Prochera,,0.0,,0.0,6.57,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2022-11-30,Nie dotyczy,M,literatura faktu
Spór o duchy,Krzysztof Boruń,Anna Ryźlak,,0.0,,0.0,8.45,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2021-09-30,Nie dotyczy,F,literatura faktu
Nie bój się chodzenia po morzu,Jan Twardowski,Anna Dymna,,0.0,,0.0,1.07,"Literatura faktu, Religia i filozofia",Audiobook,Polski,2024-05-17,Nie dotyczy,F,literatura faktu
Totem i Tabu,Zygmunt Freud,Tomasz Budyta,,0.0,,0.0,5.37,"Literatura faktu, Religia i filozofia, Nowele, poezja i dramat, Nowele i opowiadania",Audiobook,Polski,2024-02-14,Wielcy humaniści,M,literatura faktu
Świat żelaznych szmat,Zygmunt Kałużyński,Prochera,,0.0,,0.0,9.32,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-10-19,Nie dotyczy,U,literatura faktu
"Ekstremalni. O bohaterach, którzy narażają życie, by ratować innych",Dariusz Jaroń,Wojciech Stagenalski,,0.0,,0.0,10.27,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-04-06,Nie dotyczy,M,literatura faktu
Hostel Nomadów,Artur Nowaczewski,Wojciech Masiak,,0.0,,0.0,6.85,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-08-07,Nie dotyczy,M,literatura faktu
Pandemia. Jak przetrwać i nie zwariować,Kafir,Tomasz Sobczak,,0.0,,0.0,2.37,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2020-05-07,Nie dotyczy,M,literatura faktu
"Zróbmy sobie szkołę. O tych, którzy rozkręcają edukację po swojemu",Mikołaj Marcela,Sebastian Słomiński,,0.0,,0.0,9.73,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-04-10,Nie dotyczy,M,literatura faktu
Nasze zwierzęta mocy,Wojciech Jóźwiak,Marek Piotr Wójcicki,,0.0,,0.0,10.18,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-05-10,Nie dotyczy,M,literatura faktu
Lepszy gatunek. Psio-ludzkie historie,Marcin Wilk,Maciej Raniszewski,,0.0,,0.0,8.25,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-03-13,Nie dotyczy,M,literatura faktu
Podglądanie na odległość,Krzysztof Toeplitz,Jędrzej Fulara,,0.0,,0.0,6.28,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-08-25,Nie dotyczy,M,literatura faktu
Ze sztambucha starego komucha,Andrzej Kalinin,Jacek Kiss,,0.0,,0.0,11.4,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2019-08-20,Nie dotyczy,M,literatura faktu
Obrona rozumu,Gilbert Chesterton,Ireneusz Prochera,,0.0,,0.0,8.62,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-03-08,Nie dotyczy,M,literatura faktu
Dla Sprawy,Gilbert Chesterton,Ireneusz Prochera,,0.0,,0.0,5.8,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-03-15,Nie dotyczy,M,literatura faktu
Efekt niszczący. Jak dezinformacja wpływa na nasze życie,Mierzyńska Anna,Głogowski Bartosz,,0.0,,0.0,10.98,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-02-10,Nie dotyczy,M,literatura faktu
Woda. Historia pewnego porwania,Opryszek Szymon,Drozda Mateusz,,0.0,,0.0,8.22,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-11-22,Nie dotyczy,M,literatura faktu
Strażnicy wolności,Hugo-Bader Jacek,Bauman Adam,,0.0,,0.0,7.4,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-02-10,Nie dotyczy,M,literatura faktu
Z nosem w smartfonie. Co nasze dzieci robią w internecie i czy na pewno trzeba się tym martwić?,Karol Jachymek,Bartosz Głogowski,,0.0,,0.0,8.27,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-05-27,Nie dotyczy,M,literatura faktu
"Nie minęło nic, prócz lat...","Szymon Kobyliński, Aleksandra Ziółkowska-Boehm","Elżbieta Kijowska, Michał Drumowski",,0.0,,0.0,11.27,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2021-06-15,Nie dotyczy,G,literatura faktu
Sztuka podglądania,Marta Motyl,Donata Cieślik,,0.0,,0.0,11.2,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2021-02-23,Nie dotyczy,F,literatura faktu
Jak sobie poczynamy. Historia różnych koncepcji i antykoncepcji,Iwona Wierzba,Donata Cieślik,,0.0,,0.0,14.68,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2021-03-09,Nie dotyczy,F,literatura faktu
Kompendium zarządzania szkoleniami,Paweł Kopijer,Wojciech Masiak,,0.0,,0.0,5.28,"Literatura faktu, Społeczeństwo i kultura, Ekonomia i biznes",Audiobook,Polski,2021-10-27,Nie dotyczy,M,literatura faktu
#1 Gołota. Polski sen – Kacper Bartosiak – podcast oryginalny,Kacper Bartosiak,Kacper Bartosiak,,0.0,,0.0,46.0,"Literatura faktu, Sport",Audiobook,Polski,2022-12-06,Nie dotyczy,M,literatura faktu
Stulecie przeszkód. Polacy na igrzyskach,Lis Daniel,Głogowski Bartosz,,0.0,,0.0,14.92,"Literatura faktu, Sport",Audiobook,Polski,2024-02-10,Nie dotyczy,M,literatura faktu
Złe psy. Po ciemnej stronie mocy,Patryk Vega,Roch Siemianowski,,0.0,,0.0,8.12,"Literatura faktu, True Crime",Audiobook,Polski,2024-04-16,Nie dotyczy,M,literatura faktu
Nauka. To lubię,Tomasz Rożek,Maciej Radel,,0.0,,0.0,6.63,"Literatura faktu, True Crime, Dla dzieci, Dla dzieci w wieku 6+",Audiobook,Polski,2020-08-26,Nie dotyczy,M,literatura faktu
Kompendium wiedzy dla autorów kryminałów,Margota Kott,Andrzej Hausner,,0.0,,0.0,9.77,"Literatura faktu, True Crime, Językoznawstwo i języki obce",Audiobook,Polski,2022-07-29,Nie dotyczy,M,literatura faktu
Skarby drzewa,Małgorzata Lutowska,Zuzanna Łuczak,,0.0,,0.0,5.63,"Nowele, poezja i dramat, Nowele i opowiadania",Audiobook,Polski,2022-03-24,Nie dotyczy,F,nowele
Niesamowite opowieści ze świątyni Sei'a,Kidō Okamoto,Jacek Dragun,3.7,11.0,,0.0,7.58,Powieści,Audiobook,Polski,2023-07-12,Nie dotyczy,M,powieści
Zima w Pensjonacie pod Bukami,opracowanie zbiorowe,Anna Dudziak-Klempka,4.4,,,0.0,9.22,Powieści,Audiobook,Polski,2022-03-09,Nie dotyczy,F,powieści
Najcenniejszy podarunek,Aleksandra Rochowiak,Masza Bogucka,4.4,11.0,,0.0,8.58,Powieści,Audiobook,Polski,2023-10-04,Nie dotyczy,F,powieści
