Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Nieme głosy,Margit Sandemo,Sylwia Nowiczewska,4.8,296.0,4.9,289.0,8.35,Fantastyka,Audiobook,Polski,2019-09-01,Tom 39 - Saga o Ludziach Lodu,F,fantastyka
Niemy krzyk,Angela Marsons,Krzysztof Gosztyła,4.6,289.0,4.7,289.0,10.72,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2024-02-14,Tom 1 - Kim Stone,M,kryminały
Szamański blues,Aneta Jadowska,Marcin Popczyński,4.4,293.0,4.7,288.0,10.78,Fantastyka,Audiobook,Polski,2023-03-24,Tom 1 - Cykl szamański,M,fantastyka
Nadszedł ten dzień,Ninni Schulman,Krzysztof Gosztyła,4.6,319.0,4.7,288.0,17.32,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-10-16,Tom 7 - Magdalena Hansson,M,kryminały
Dom Pod Trzema Lipami. Tom 3. Taka miłość się zdarza,Agnieszka Jeż,Joanna Domańska,4.7,292.0,4.8,288.0,7.95,Powieści,Audiobook,Polski,2020-04-07,Tom 3 - Dom Pod Trzema Lipami,F,powieści
Manipulator. True monsters,Agnieszka Pruska,Mateusz Drozda,4.4,289.0,4.6,288.0,1.77,"Powieści, Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2024-01-09,Tom 1 - True monsters,M,powieści
Kraina Ślepców,H.G. Wells,Krzysztof Baranowski,4.1,297.0,4.5,287.0,1.08,Fantastyka,Audiobook,Polski,2021-05-12,Nie dotyczy,M,fantastyka
Świat Przeistoczonych. Tom 1. Bez prawa do błędu,Wasilij Machanienko,Wojciech Masiak,4.6,289.0,4.9,287.0,9.78,Fantastyka,Audiobook,Polski,2024-01-03,Tom 1 - Świat Przeistoczonych,M,fantastyka
Cisza przed burzą,Margit Sandemo,Sylwia Nowiczewska,4.8,292.0,4.9,287.0,9.92,Fantastyka,Audiobook,Polski,2019-11-01,Tom 42 - Saga o Ludziach Lodu,F,fantastyka
Hipokrates przed sądem,Helena Kowalik,Wojciech Masiak,4.6,288.0,4.8,287.0,12.3,"Literatura faktu, Prawo",Audiobook,Polski,2023-03-07,Nie dotyczy,M,literatura faktu
